text,rating,informative
"Can't change profile picture.
",1,1
"Doesnt seem to be working everytime i go on it, it says it cant update anything so stuck with statuses from november saved on there!
",4,1
"Take forever to upload ....
",1,1
"Painfully slow when it does decide to work.
",1,1
"I continually experience freezing, black screens, my phone gets locked up...
",1,1
"Nice update but Can't upload pics from Samsung galaxy note 2.
",3,1
"Is anyone else having problems seeing pictures on your wall or news feed? Non of them load.
",3,1
"I like the upgrade to it but HATE the fact that you cant erase your comments or others anymore thru phone.
",1,1
"I really liked that I could delete comments by swiping left to right.
",3,1
"Been getting a black screen lately...
",1,1
"Also freezes a lot and keeps saying network error.
",3,1
"Will not load, and even when it does it force closes and freezes my phone, I uninstalled it!!!
",1,1
"It's only been happening recently, but none of the images appear and I get that 'cannot retrieve at this time' message.
",3,1
"it stops working after my android os is upgraded....
",1,1
"You took away the ability to choose albums, if a pic has more than 2 or 3 words in the description you can't read it anymore due to the popup feature.
",1,1
"You can't get to a person's profile through the pic unless they comment.
",1,1
"You can't get out of the pic without clicking back a dozen times.
",1,1
"Forces closed.
",1,1
"Notifications are falling apart.
",1,1
"This app works really slow after its last update.
",3,1
"Also, everytime I view a photo, the app stops working and then force closes.
",3,1
"I can't see pictures in my new feed and most of the time they don't load even when I click on them...
",1,1
"seeing old status updates, although set to most recent.
",1,1
"how stupid why cant i share pages or delete or edit conments this is a horrible app on optimus L9
",1,1
"1) Ability to unfollow a post.
",4,1
"For example, when someone comments on a post, FB will blink blue the LED on the phone, and give a notification at the website. If I clear the notification at the website, the LED will still blink.
",4,1
"No comments and likes are refreshing.
",1,1
"Have to click to comment to see the comments and likes.
",1,1
"Since ive put the update in its not posting status's
",3,1
"Cant view anythin!!
",1,1
"It's not letting me post my status...
",2,1
"Try to make a faster and lite version which consumes less battery, RAM and cpu !!!!
",1,1
"When will you fix tired of it no connection tion and freezes all the time stops responding
",1,1
"My only complaint right now would be an issue that I noticed time ago but never took the time to provide my feedback.
",4,1
"Always says no internet connection wen i have full service.
",1,1
"I have to clear cache/data and logoff and login to update news feed.
",1,1
"My qwerty has glitches when typing comments/posts.
",1,1
"I was so pleased with the update about a month ago until it started freezing and losing network connection!
",2,1
"Can't post from phone.
",1,1
"You cant delete posts either ???
",1,1
"when I ""like"" someone's picture or status, it won't let me like it, I have to press several times to be able to ""like"" something.
",1,1
"It almost never loads properly, usually losses the network connection, and worst of all, it has somehow managed to screw up the data connections for my other programs.
",1,1
"Network error?...
",1,1
"Hate the fact I can't swipe and delete comments please fix this
",1,1
"It won't let us change our cover photo for a new pic.
",2,1
"Force closes constantly!
",1,1
"Won't upload my status, can't change my profile picture and it shows me network errors constantly.
",1,1
"Won't even get into how slow it runs.
",1,1
"Why can't I change my cover photo anymore????
",2,1
"It wont load photos, profiles, comments.
",1,1
"It is laggy, even on a Nexus 4.
",2,1
"Neither my own nor posts to other's status work any more.
",1,1
"It is just too easy to post errors from a phone.
",1,1
"When you do bring it back, include edit also.
",1,1
"Fix the black box that always says ""foreclose!""
",1,1
"Can't post statuses.
",1,1
"I am not getting my notifications,n this is a brand nu samsung admire from metro pcs
",2,1
"Don't show have the pics can't see who is on chat and can't share some can now can't get on Facebook
",1,1
"I can't change my cover photo on my profile no more.
",4,1
"After the last update I'm getting a constant network error and photo comments are not loading
",1,1
"It doesn't update properly and crash often.
",1,1
"This new version takes waaaaay too much internal MB.
",1,1
"Slow to respond.
",1,1
"crashes an takes ages to update
",1,1
