text,rating,informative
"The only thing needed is swype to make it complete :)
",4.0,1
"When it has 2 languages selected it mostly makes predictions in one
",4.0,1
"Great app very easy to use and I love the level of customisation but is does suffer from over sampling the keystrokes while the phone is being charged.
",4.0,1
"Otherwise perfect, although this is kind of a big deal.
",4.0,1
"I could not even personalize my writing style.
",4.0,1
"I want it to be able to learn from whatsapp too!
",5.0,1
"please add emojis and other stuff
",4.0,1
"You might also have to change a few small settings to taylor it how you want it to auto space, period, and what not.
",5.0,1
"Currently messes up when trying to type comments, messages etc on the mobile website version of Facebook.
",3.0,1
"It would be better if it could be used on Google Search and on my browser.
",3.0,1
"I just wish it worked on my Facebook..
",4.0,1
"but lags like hell often when u wake up the phone after deep sleep and feel like smashing my phone ..
",2.0,1
"Great app but needs to be a little more customizable, or more themes.
",4.0,1
"Also, a selection of copyright and trademark symbols , ?, this very important key is currently; hard to find.
",4.0,1
"This vital key should be front and center considering the level of proprietary issues, that arise; daily, from social media postings; from general observational
",4.0,1
"And now it doesnt want to download the english or spanish
",3.0,1
"Is there anyway swift key can create a red color theme?
",4.0,1
"Watsapp conflict + more
",1.0,1
"The keyboard is great, but hard to use with one hand.
",3.0,1
"Only thing missing for me is a <3 emoticon.
",5.0,1
"Punctuation key is annoying.
",1.0,1
"Please give option for tighter or old keyboard layout.
",1.0,1
"Arrow keys are unnecessarily large.
",1.0,1
"1. Predictive text would be great while typing at anytime on the phone, not just for sms.
",4.0,1
"The whole number/symbol entry screen needs to be redone.
",1.0,1
"But one major flaw on this for a fast typer is the lack of MULTI TOUCH support.
",3.0,1
"And for god sake why don't you put an option to turn off ""family filter"" so i can write properly instead of seeing duck everytime i want to write something else.
",3.0,1
"I wish you could still use swype but everything else is AWESOME
",5.0,1
"Wish I had options to make font larger on the keys, like A.I. Keyboard.
",4.0,1
"Wish the keyboard could show Gtalk's emoticons.
",5.0,1
"If there is a negative comparing the 2 it would be the lack of customisation compared to smart keyboard pro, which is endless!
",5.0,1
"It would also be nice to have more themes or support for third party themes.
",4.0,1
"Why isn't the predictive typing working in dolphin browser?
",2.0,1
"I like swype but the space bar is too small.
",5.0,1
"Here's any idea you guys should come out with different key board themes for each holiday like if you agree
",5.0,1
"It would be good if this paid for app would be a bit more configurable ie allow me to add an apostrophe on the main keyboard rather than have to go to the supplementary one
",3.0,1
"Smilies as default on the enter key are a deal breaker for me.
",1.0,1
"Love the keyboards just Wish I could change typing sounds other than that great app!!
",5.0,1
"Wish they had some better looking themes
",4.0,1
"Only thing missing is Welsh lang. Basque, Catalan, Galician, Icelandic... no Welsh?
",5.0,1
"Add Jelly Bean emoji support!
",1.0,1
"Add more keyboard skins please!!!
",4.0,1
"The update killed it on my thunderbolt. :( it says its turned on but I only get factory keyboard when I type
",5.0,1
"I just wish they had more language options like Japanese and Chinese, which I hope will come soon.
",5.0,1
"I'm hoping we are getting some new Good themes!!!
",5.0,1
"Why they decided to put numbers on the left side and symbols on the right is beyond me (rather than numbers along the top and symbols on the rest).
",5.0,1
"Please continue develop the Spanish language.
",5.0,1
"It works well but there should be an option for adding custom words to the dictionary.
",3.0,1
"Currently enter key does not commit best to match.
",5.0,1
"Also not happy with the collection-of-data warning at the beginning of installation.
",4.0,1
"Love the keyboard and all its features, but I have not been able to bill my provider's acct for Google play downloads ever since installing it.
",4.0,1
"Without the personalized dictionary, I uninstalled it.
",3.0,1
"Also, they need to make enoticons easier to access...
",3.0,1
"Please add marathi and hindi language support and the app will be the perfect keyboard  for 5 stars.
",4.0,1
"Please add the marathi and hindi font.
",4.0,1
"Only complaint is it would be nice to import settings from the trial.
",5.0,1
"It would be nice if they had more keyboard customizing.
",4.0,1
"Add some more themes, keypad and key press tones..
",4.0,1
"Not as accurate as it used to be.
",5.0,1
"I only wish it was trace/swipe text capable.
",4.0,1
"Please make the tablet version an option inside this app.
",3.0,1
"Only minor issue I have is I wish there was more themes for the key board
",5.0,1
"My favorite, really, but it makes me have to switch to other input methods because of the lack of Chinese support.
",3.0,1
"No problems at all, better than stock Samsung, but like others are saying, a personal dictionary would be great and the word shortcuts.
",5.0,1
"SwiftKey plus chrome plus certain types of forms (particularly ones that require an email address) leads to a very ugly slow motion crash on ics.
",2.0,1
"need to fix arabic on jelly bean
",5.0,1
"Recently experiencing freezing at times in landscape.
",4.0,1
"Every time I'm typing a long status on face book this keyboard will take words I'm typing and put them in the beginning of the status.
",1.0,1
"uses excessive amounts of ram...
",1.0,1
"I tend to hit the letter ""b"" instead of the space bar sometimes and it fails to predict that I'm trying to hit the space bar.
",5.0,1
"This crashes at minimum ten times a day during web browsing via Chrome.
",2.0,1
"the. com button when typing in a browser url is the most annoying thing about this keyboard.
",1.0,1
"I love the keyboard but when I type texting 6 times and it shows tearing I get a bit frustrated.
",1.0,1
"Gets removed as default keyboard after every reboot.
",5.0,1
"Too bad, because I did enjoy the features of SwiftKey, but I make so many errors using SwiftKey on the HOX that I can't use it.
",2.0,1
"Can you PLEASE fix the lag with ics?
",3.0,1
"But won't  stay as default when start up or reboot?
",5.0,1
"Constantly crashes, slows down the phone, and uninstalls active language to force internet connection establishment.
",1.0,1
"This app shouldn't require constant internet connection to work.
",1.0,1
"Font doesn't change with theme.
",1.0,1
"Backspace is often triggered as well randomly.
",3.0,1
"The default keyboard setting for SwiftKey is going away when I remove the battery.
",1.0,1
"Suggestions are awesome, but not many things annoy me as much as when I type something and SwiftKey changes it to something wrong even though I didn't choose a suggtion.
",3.0,1
"Chrome + SwiftKey = constant freeze and crash.
",5.0,1
"It's getting tedious setting SwiftKey as my keyboard each time.
",1.0,1
"The space that inserts after a punctuation is fairly annoying.
",3.0,1
"And 30 to 40 mb is too much for a keyboard.
",1.0,1
"Doesn't predict swears, custom words, or abbreviations w/ symbols (ie. ""w/"").
",1.0,1
"You select the correct spelling and nothing happens.
",3.0,1
"Typing an email address is a pain in the ass with this app.
",3.0,1
"One little thing annoys me tho: the auto correct is really stubborn!
",4.0,1
"There are plenty more like me - see your ""new features"" topics on your support pages. An option to disable this would restore 5 stars.
",1.0,1
"Only annoying bug on JB, is that whenever i reboot my phone, the keyboard reverts back to the JB one.
",4.0,1
"Upgraded to an LG intuition and, while it still functions properly, it does not stretch across the screen.
",3.0,1
"For some reason, my nexus s defaults to Samsung keyboard and it really annoys.
",1.0,1
"The latest update causes Chrome to constantly crash on the S2.
",2.0,1
"Had to stop using this keyboard because it's made browsing impossibly slow and frustrating.
",2.0,1
"On occasion, the words selection bar doesn't appear and the letters typed are not accepted by the application.
",3.0,1
"when I reboot my phone (Nexus S) the stock android keyboard is the default one, so I have to go back to the settings to make swiftkey the default keyboard again.
",5.0,1
"Was great when first purchased but following an update it no longer works on my HTC Desire HD.
",5.0,1
"My use case: Type something and select one of the three suggestions on the top of the keyboard. In my scenario (three languages, de/en_US/he) this fails a lot (I think mostly with German words).
",2.0,1
"4 stars because no predictive text in web browser on JellyBean Galaxy S3 LTE.
",4.0,1
"Typing email addresses and other long but irregular words can be a pain.
",4.0,1
"Deleted after a week or so as it was constantly irritating me and just wouldnt let certain words go .
",2.0,1
"It shows up briefly after long press(which is inconvenient too) and goes away after a fraction of a second.
",3.0,1
"Basically, you don't have to release the long press to get the long press option.
",4.0,1
"But please add Chinese language support, really need it.
",5.0,1
"When in horizontal view you can't see any of the other persons messages. I even changed the layout to small to give more room but still won't show.
",4.0,1
"It's pointless to even go horizontal if you can read anything.
",4.0,1
"Every time I restart my Note 2 (AT&T) I have to re select swift key again to use it.
",1.0,1
"How about a character counter.
",5.0,1
"When I am writing on some apps that limit characters, such as a status update, I can't see how much I have put in without hitting the back button.
",5.0,1
"You could add a character count on the right above/below the send button.
",5.0,1
"Would be even better if the personal dictionaries could be synced to cloud.
",5.0,1
"Could be more customizable.
",5.0,1
"I just took one star off because shortcuts/ personal dictionary would make it perfect.
",4.0,1
"But continuously 'disappears.' All settings are correct but it will not appear when I need to type something!!
",1.0,1
"Also, I'm ready for more themes.
",5.0,1
"Was great on my nexus s but on the Xperia u it causes quite a bit of lag on coming up and down to the point where the whole phone feels sluggish.
",3.0,1
"That isn't to say that the dwiftkey keyboard is bad, if it weren't for the lag it would be great
",3.0,1
"What I like here is the intelligence and the prediction power, which, by the way, can be improved.
",5.0,1
"Now the prediction is based just on recent writing, if I go back to continue a bit older texts with special terminology I realize that all the power of prediction is gone, have to learn it again from zero..
",5.0,1
"And in Romanian predictions are not even close to those in English..
",5.0,1
"However, now with Jellybean 4.1.2 when swift key is selected as default keyboard, it takes quite awhile for the keyboard to open up.
",2.0,1
"It's would be refreshing to see other keyboard themes.
",5.0,1
"Sometimes the suggestions don't pop up.
",3.0,1
"When is more themes coming
",2.0,1
"It's been MONTHS since hundreds if not thousands of users faithfully and trustingly waiting for the additional of Chinese language support.
",1.0,1
"But with more languages added,Chinese never made the list.
",1.0,1
"My only issue is lack themes! Please add way more .
",5.0,1
"PLZ FIX TO WHERE THE KEYS WILL RESPOND TO PPL THAT TYPES FAST IT FREEZES ALOT N IM A QUICK TXTER
",3.0,1
"Unfortunately, the keyboard is simply not visible when using Chrome.
",4.0,1
"Awesome keyboard but lacks pen detection for Note ii. Please include this in the next update :D
",4.0,1
