text,rating
"My most used app makes typing so much easier and faster Great App
",5
"Stopped working again, unable to download language packs, despite already being downloaded.
",1
"Chesty puller
",5
"Crashes chrome every 5 minutes.
",1
"Using an epic 4g touch with cm10.
",1
"I love it but I just wish it had a going down button but it's still the best keyboard I've ever had
",5
"This app is great works fast and accuracy is great worth buying.
",5
"Love this product.
",5
"Samsung's default keyboard was too slow to keep up with my fast/rapid typing!
",5
"This one keeps up with it and has better correction ability!
",5
"Love it since day 1
",5
"So when are we getting the new features like the ones for the Android key board?
",4
"Simple,  quick key response,  work great!
",5
"I really like this keyboard!
",4
"After coming from an iphone I was ready to send my S3 back.
",5
"The default keyboard is horrific.
",5
"This is absolutely amazing.
",5
"Similar to how the iphone works and I love it.
",5
".feature, recently announced but still hands down the best.
",5
"The fact that this is #1 in the play store should send a loud message to Google and device manufacturers that their keyboards are lacking.
",5
"No word prediction in various browsers.
",1
"Makes no sense.
",1
"No dedicated # row option either.
",1
"Company could care less about adding real functionality.
",1
"Feature requests for real functionality sit and collect dust while fluff skinning type ones get done.
",1
"Thank God I got it for a dime.
",1
"I'd like Japanese added.
",3
"I'd be happier with the purchase then.
",3
"Best keyboard on the market!
",5
"A MUST HAVE if you're upgrading from a phone w/ a slide out keyboard to a touch screen!
",5
"Trial version expired & I've had no word prediction - typing in every last letter, hyphen, quotation mark, you name it.
",5
"Will drive you crazy!
",5
"Just wait until the trial expires; you'll be upgrading.
",5
"Thanks for the trial & not making us decide based on reviews.
",5
"Don't get me wrong, this app is a lifesaver and I have recommended it to many friends.
",5
"I humbly propose some suggestions: 1.
",5
"For the semicolon (;) and colon.), it does not automatically delete the ""space"" prior like it does for the comma and period.
",5
"This is important, because if I want it to autocorrect the prior word, I need to press space to accept the suggestion, and the space also adds an actual space.  eg. shulf  -> shield    requires me to press space.
",5
"And when I do that, it fixes it and adds a space.
",5
"But if I want to type a colon or semicolon after it, I have to delete the space just added and then hold the appropriate key.
",5
"The quotation marks ("") point in a particular direction, meaning that they are the same both at the beginning or at the end of a quote.
",5
"There are two ways to fix this, as I see it: (1) have the keyboard automatically put in the forward facing quotes if they come before a word (""likethis) and backwards facing at the end of a word (likethis""), OR (2) use neutral quotes that just go straight up and down.
",5
"Thanks for a fantastic app, though.
",5
"I now have a pink keyboard!
",5
"So much easier than my old i phone keypad  and it is a pleasure to use on my Galaxy 2.
",5
"If only I could now find an app to change my black background on my emails!
",5
"First time I've ever purchased an app.
",5
"After the trial ran out I couldn't imagine going on without SwiftKey.
",5
"Thanks for a great keyboard!
",5
"94 percent amazing.
",5
"Never thought I would need a replacement keyboard app but when I got my Galaxy S III, the native keyboard was not working well for me.
",5
"This one just makes sense.
",5
"The best keybord. i have tryed out many others but no one is like this one!
",5
"I have emailed this company 3 times without a response!
",1
"Less responsive since last update and crashes phone often.
",3
"This is even after wiping my phone.
",3
"It can't spell or auto-correct correctly when writing in caps.
",3
"Still worth 3 stars because it's great in all other ways.
",3
"I was skeptical at first but this app is truly amazing.
",5
"I don't think I could ever go back to the stock Android keyboard.
",5
"Aber das ganze macht das Handy doch unn?tig lahm.
",4
"Super efficient and awesome :)
",5
"Nothing to add really, wish tablet version wasn't separate purchase.
",5
"By far the most useful and rewarding app I have installed to date.
",5
"At this point I'm essentially flinging my thumbs at my phone as fast as possible, and meaningful sentences come out.
",5
"The first few weeks were a bit tough while SwiftKey was still learning my style, but after that it's a breeze.
",5
"I am Vietnamese and I want to type my language.
",3
"Is it coming soon?
",3
"This app makes phone usage an amazing experience.
",5
"Works like a dream!
",5
"I used to use Swype thinking it was the fastest keyboard out there with some ok predictability.
",5
"I tried this app out and loved it.
",5
"I can't type on my phone without this great predictive keyboard.
",5
"I left my phone at home the other day and was using my friends android phone.
",5
"The stock Android keyboard is nothing compared to Swift Key.
",5
"Great prediction and all, but as the title says, keeps deleting words if I type too fast.
",1
"What's the point in creating a great keyboard if typing fast brings about bugs?
",1
"GIve option to disable swipe back to delete word at least.
",1
"The number keys should be able to be customized if you want them as a row on top.
",5
"On my way to 100000 keystrokes saved!
",5
"I have for the past year been using smart Keyboard Pro.
",5
"It has only been a half a day and SwiftKey by far surpasses my old keyboard and stock keyboard.
",5
