text,rating,informative
"the only thing i frown on is the most stuff cost fish bucks.
",4,1
"when ever i try to breed, the fish are there but whenever i tap on them it only gives me one to breed when there are several there.
",2,1
"i can't visit any of my neighbor tanks....
",2,1
"i think you shuld make a place where you can change fish mony into fish buks and fish buks into fish mony.
",4,1
"then after that update it wunt let me play the missions.
",1,1
"after this last event i can't breed and i lost a lot of fish.
",2,1
"after this latest update three tanks of fish are missing an i can no longer breed fish.
",3,1
"when i went to play and i had my breeding tank  ready to put the fish in tank they was gone .
",1,1
"just wish events were easier to make your goals.
",4,1
"some of the fish too expensive to buy but overly i adore this game.
",3,1
"or such things it does make things go by a little bit faster breeding does take a little too long i think right now i'm waiting 2 days that's a bit long and i'm not spending money sorry i have a baby that needs my money first.
",4,1
"wish fish bucks were easier to get.
",5,1
"i had one issue where i had to delete my second tank but other than that its been awesome
",5,1
"its not excellent because its hard to get money and still have fish.
",4,1
"epic game ever but give ways to get more fish bucks easier :)
",4,1
"also, make prices lower
",4,1
"love it wish the tanks were a little cheaper and wish they would have more ways to earn fish bucks instead of having to pay once they do that it will be a 5 star app
",4,1
"it takes forever to level up on this game.
",1,1
"i play on my ipod and would really like to be able to transfer my game to my android.
",4,1
"but why is it so slow and small on my motorola atrix..
",5,1
"i purchased 2 20 fish bucks packages in the last couple weeks and neither showed up.
",1,1
"was fun, but, the new bubble is ridiculous, and when i went to.buy one fish, i couldn't make it stop until i had no more bucks.
",4,1
"i just wish it didn't freeze so much and there was an easier way to get coins
",4,1
"beginner game started up & will not restore.
",1,1
"i have did the earn free bucks and have not received any thing
",5,1
"per tapfish ""somehow my tapfish went corrupt & start the game over"".
",1,1
"apart from it popping up telling me to leave 5*s all the time its a good game, wish there was more things to do without paying real money though..
",5,1
"it could be little better if there is a way to cash in coins for bucks  or at least easy way to get free bucks ...
",5,1
"okay here's another idea space theme astronaut fish and it makes aliens a spaceship decoration and planets and space backgrounds and space decorations and meteor shower that moves and a moon that turns or the earth mini solar system for a reward and rockets and moon rovers and flying saucers.
",5,1
"there should be more events once one is over.
",4,1
"good game but it can be slow at progressing
",5,1
"i lost everything that i spent over a year doing.
",3,1
"its a brilliant game until it starts freezing and forcing close but the kids do love it.
",3,1
"i luv this game but it takes days to hatch most eggs and u have to spend money to complete tasks, but it is a free game, ppl have 2 make money!
",5,1
"it would be nice if we could purchase more than one item at a time, rather than going back and forth for same item.
",3,1
"it never fetches data from server cant able to play it till now...:(
",2,1
"i really like the game but am disapointed that most of the objects you need or want to buy must be bought with fish bucks other than that grea game
",5,1
"wish there were more fish bucks rewards though.
",5,1
"good game overall but eats memory so far
",3,1
"good game but crashes alot
",4,1
"breeding takes to long and more breeding tanks cost too much but this is a great game i'm 35 and all my kids love it from 5 ye old to 7, 11,and 15 ye old ty for a fun addictive game!
",4,1
"can't play for more than a few minutes before it force closes.
",2,1
"per tapfish ""somehow my tapfish went corrupt & start the game over"".
",1,1
"always hangs and consumes a lot of memory..
",1,1
"add tadpoles!! :)
",5,1
"i have more then ten of all 4 frog breads why cant i claim the 7th collection item?
",4,1
"i have 2 limited breedable fish and when i try to breed them it is saying i don't have any limited breedable fish somebody please fix this so that i can breed my fish?
",3,1
"but for the last week every time i turn on the app, it freezes my touch screen up.
",3,1
"and all of the other fish cost fish bucks while its already so hard to get coins!
",2,1
"need 2 be able 2 get more things  easier like fish bucks...
",3,1
"uninstalled kept force closing on me and i lost everything..
",3,1
"i've played this on 2 phones now and i wish my old fish had followed from apple to android...
",3,1
"rebuilding my collection of fish is gonna be expensive,  wish it was possible to buy buck fish for higher coin prices or earn bucks easier.
",3,1
"bubble tips get on my nerves ...
",4,1
"pop up to many times.
",4,1
"aware but no help - the bubble-pop event ended two months ago & i have 24 half-evolved fish-bubbles flashing-red & i can't pop, sell, kill or delete them.
",1,1
"this game suckes don't install its a rip off this company just wants your money
",1,1
"can there be a way to trade coins for bucks please!
",4,1
"fish bucks are to hard to get and to buy the good breedable fish you have to use alot of your hard earned fish bucks
",1,1
"i was on level 12, then had to reset my phone to get a new phone, switched out my sd card, memory card, and battery (yes i saved data before removal) placed everything in my new phone, and it started from the beginning.
",3,1
"having the same problem as everyone else, can't even access game now.
",4,1
"it's a bit slow sometimes on my metropcs optimus m, but could be my phone's fault.
",4,1
"works great on my tablet, my only issues with this game is the difficulty to earn coins and fish bucks.
",4,1
"we should be able to skip those even if we had to spend some coinage to do so.
",4,1
"i have gotten a data parsing error for the second time.
",2,1
"runs a little slow sometimes.
",4,1
"actually five times to be exact when the submarine was filled to the max n several other times when i only had a few items.
",3,1
"dont last long bucuz everything is so high to buy with fish bucks!!
",5,1
"breeding time should be shortened too.
",5,1
"fun but shuts down frequently
",3,1
