text,rating
"i really luv playing this game
",5
"this game works and its super fun
",5
"fish bucks need to be easier to get, also i sold my mrs. claus fish for 6,000, exited the game, went back later and the fish was gone and so were the 6000 coins i sold it for.
",3
"i was not happy at all, other then that good game.
",3
"oh, and fix the lag.
",3
"coolest game ever
",5
"great game
",5
"very interesting and 2ide range of fish :)
",4
"make it a little more affordable and breed quicker cmon please
",1
"love it!
",5
"hours of fun!
",5
"its fun, but fishbucks and coins are way too hard to get.
",4
"you also should be able to do more things with your fish.
",4
"cool game
",5
"a nice and relaxing game.
",4
"this is alot of fun,..its my next favorit next to angry birds
",4
"fun app...and i recommend it to any age!!!!
",5
"thank you so very much for returning all my fish, i missed tgem :-)
",5
"i like the game but i want to know how do i go about getting my old game, since my other game device was taken out of my car' item was traced down and was sold .
",5
"its easy to play.
",5
"im having fun with my fishes.
",5
"fun time killer
",5
"it's a fun game but for some reason it's really slow when i click on fish eggs.
",4
"lovin this game
",5
"i am so addicted to this game
",4
"this is the best coolest virtual pet i've ever had :-d
",5
"very fun game
",5
"like the contest.
",4
"trophies.
",4
"and graphics.
",4
"there is like little to do to earn them.
",4
"i love tap fish!
",1
"the fish look so real, and pretty.
",1
"id give it 5 stars if you could buy more fish bucks using just fish coins other than that its a good game.
",4
"haven't had any problems i love it
",4
"great fun
",5
"this game is great.
",5
"love this app better than tapfish exotic
",5
"mystery fish it always tells me i haven't any to breed.
",2
"i keep buying mystery fish but it just wont work.
",2
"im scared to  buy mystery fish if i can't  breed them.
",2
"tap fish
",4
"so addictive and fun definitely a great app
",5
"it was the best game i have ever played
",5
"love this app....
",4
"awesome game!!
",5
"just taken a load off fish off me snd won't let me breed fish
",5
"new year event start on ios devices but not on android devices?
",5
"looks like all the bugs got fixed.
",5
"thanks, back to loving the game as much as ever.
",5
"the polar bear fishy rocks!
",5
"adorable game
",4
"like its ok
",4
"awesome game although could be smoother
",5
"nice game if you like fish.
",3
"they are sooooo cool keep it up
",5
"badass till i switched phones and all my progress was erased please fix this!!
",4
"love playing
",3
"i really like tap fish.
",4
"and i've been playing a long time.
",4
"but my issue is to be able to move my tanks from my old phone to.
",4
"the new one....and coins for bucks!!
",4
"visit my tanks ""fishfanzy1116""
",4
"i really enjoy playing this game!!!
",5
"awesome game!!!!
",5
"using the new version and it still loses your money.
",1
"this app.
",1
"stole  75 bucks beware of this app it *locks up all the time  now and is very glitchy (game), that will stell your hard earned money from you.
",1
"go ahead have fun trying to make some money to buy stuff that you must have to move forward.
",1
"and have a fish burp good bye fish bucks.
",1
"and fish headquarters don't care and won't help you.                                               :(  :( :( :( :( :( :( :( :( :( :( :( :( :(
",1
"so the app updated earlier and when i just went to play the game i had to start all over again with i'm very mad about because i was on like level 35 and had like 30 fish tanks and there are all gone n now i have to start all over again which really bothers me cause i do really like this game.
",1
"i would really like it if somehow i can get my levels n fish back it would really mean a lot i did spend a lot of time getting all the fish n things i had
",1
"best game i played
",5
"it's a good game i had for years but i didn't get no updates
",4
"in data middle
",3
"love this game
",5
"this game is fun and very hands on.
",5
"love it
",5
"it is a relaxing game.
",5
"enjoy playing.
",5
"it great i love this game
",5
"love this game so fun
",5
"great great
",5
"neat game for kids
",5
"i check regularly throught the day to see how my fishies are!!
",4
"deffinatly a brilliant time killer while the other half has his tv time!
",4
"it's a great game i love it's
",5
"this is an absolutely fun game but the missions completely striped me from my fish bucks and i am so dissopinted.
",4
"i like watching imaginary fish all day
",5
"all bred fish are missing from tanks (350+ fish).
",5
"breeding tanks won't work and graphics are missing.
",5
"past event (christmas) is still present with an error if you try to open it.
",5
"_droid bionic at level 48_  ** missing fish are back, all glitches seem to be gone.
",5
"i luv this app it is awsome i get ro feed and buy fish with fish bucks and fish tokens u dont even have to buy any thing with your own money.
",5
"i sugest u get this app its great.
",5
"can't open certain brands of fish eggs, but other than that this app is entertaining!!
",3
"thank you for sorting the job out ha many thanx :)
",5
"my kids love it
",5
"its alot of fun.
",3
"the only thing keeping it from a five is it keeps giving a low memory message, and i know its not true.
",3
"i have plenty of memory
",3
"tap fish
",5
"every bred fish is now gone!
",5
"what happened????
",5
"great app.
",5
"very entertaining.
",5
"love my fish!!!!
",5
"it is an exellent app if you like fish
",5
"love this game
",5
"this is a grate game and i will play it every day from now on
",5
"thank you very much for returning all my missing fish and items!
",5
"i was worried about them, lol.
",5
"been collecting them for quite a while.
",5
"had to come back and give another review especially when your action was so quick!
",5
"thanks again, love your app!
",5
"i am so addicted to this game!
",5
"i have been playing for 2 years!
",5
"a big shout out to tech support if i ever had a problem it was always fixed immediately thanks for the great game ;)
",5
"only one thing please fix so it will stop slowing down my phone. ;(
",4
"play it everyday
",5
"why not have a new years breeding event?
",4
"i think the games alright got some glitches but an overall good game
",4
"great fun app
",5
"awesome game
",5
"if you play ha on facebook you'll love tap fish.
",5
"i love this game its so awesome!
",4
"it never froze.
",4
"its like i actually have fish 0-0
",4
"its really fun when doing events because you get to see all the different kinds of fish they come up with 4 stars.
",4
"the spin to win took four fishbucks from me and this recent event did not give me a free angelfish.
",4
"12.29.12 eta 7:22 am eastern time  i did a update yesterday and now the special event fish i saved over the year have been deleted.
",4
"12.29.12 eta 9:24 am looks like the bug was fixed after last update.
",4
"thanks.
",4
"im nt gonna lie.
",1
"at first this game was awesome.
",1
"it had some force closing problem bt they fixed it.
",1
"i missed three missions!!!!!!
",1
"i read comments from the updated and it seems lk this game is goin down.
",1
"i loved tapfish bt im tired of the b.s and im jus uninstallin.
",1
"imma throw away all my work and money i wasted bt its stupid that it wnt get fixed!
",1
