text,rating,informative
"said there was an error when trying to download
",1.0,1
"does not fit totally on my ge l3 e400 the screen resolution is to big.
",1.0,1
"i loved the first game but now it won't go past the imangistudios screen.
",1.0,1
"nice game gr8 but it's kinda lag and slow sensitivity please fix it thnk u.
",4.0,1
"my favorite but please add sensitivity option-thanks
",5.0,1
"i have redownloaded this 3 different times using three different internet connections.
",1.0,1
"1 when i try to send out the tweet it shuts my phone down and drains all the battery.
",4.0,1
"instead, you can add something grassy, or watery, or muddy, or maybe metallic!
",4.0,1
"have to tilt my phone way too much, stutters after 5k meters and crashes often.
",3.0,1
"it's fun but it lags, its harder and the tilting is really hard.
",3.0,1
"does not start up on my thunderbolt.
",1.0,1
"one problem - we have to tilt mobile too much to make the character go in the side.
",4.0,1
"when i went to play this game it came up big on my screen and i couldn't play it because i couldn't see the road ahead.
",2.0,1
"original was better, dont like new graphics, still same concept but trying too hard i think
",2.0,1
"the only problem is you need to tilt to extreme right/left to avoid falling.
",5.0,1
"the game would be near perfect if there were an option to change the sensitivity as it's a bit insensitive to my phone.
",5.0,1
"have some lag issues on p970 at the lowest graphics which effects the game dramatically.
",5.0,1
"i need lower graphics.
",5.0,1
"good game but it crashes alot for me.
",3.0,1
"hoping for updates for a new characters to spend the coins with and gems.
",5.0,1
"it is so good but u missed some things that could make it even better like letting fb friends see score
",4.0,1
"when i try to open it, the game closes and it wont even open to the options!
",1.0,1
"good game, but it freezes and crashes my phone.
",1.0,1
"can not open game for the second time.
",5.0,1
"graphics are decent but dont seem to respond very well.
",5.0,1
"this is unbelivable just like the first one only on android it freezes it lags how about acually puting some work into making this game, for android at least
",1.0,1
"lags a lot.
",2.0,1
"the game itself is really good, but it freezes too much and it won't let me play.
",2.0,1
"the screen of the game is too big and i can't see where i'm running.
",1.0,1
"this is a asum game but  it needs  more exciymet
",5.0,1
"but, i somehow cannot download it to my samsung galaxy tab.
",4.0,1
"this is a great game but sometimes it takes away your coins
",3.0,1
"luv it but needs more places to go looks like its goin in circle
",4.0,1
"i understand it's difficult to optimize the game for all android phones as there are several, several phones, but it would be nice if the lag could be fixed on the samsung galaxy s iii.
",4.0,1
"seems slightly buggy, can we get a sensitivity or accelerometer calibrator?
",4.0,1
"temple run 2 doesn't open for my phone it stays on the first part and exits out of the game i have the samsung infuse please fix
",1.0,1
"good, but sometimes it takes forever to load so when i turn and such, i die, because it doesn't do it right then.
",4.0,1
"rubbish not open in xperia x10i
",1.0,1
"this app shuts down and the run is not saved but the game is still fun.
",4.0,1
"i hate the fact that it's so hard to get coins!
",3.0,1
"wtf it show pakege file invalid plz fix ths.
",1.0,1
"it's slow n does not slide, jump in one go!
",1.0,1
"wtf the game takes ages for the points to go up the ziplines are terrible :d
",2.0,1
"love the game, android  v2.2.2, shows imangi and then closes, no warning, no force close, just closes, please fix imangi!
",1.0,1
"i can turn it down but it's still audible even at zero.
",3.0,1
"its simply cool but coins are not getting more as compared ti older one
",4.0,1
"nearly at the point of not been able to see my phone when tilting it left and right sgs2
",3.0,1
"can't tilt left to right, game is a bit too much
",3.0,1
"it sits on the loading screen the whole time or just exits out of the game.
",1.0,1
"game wont start.
",1.0,1
"it crashes whenever i start the game  please fix i have a sidekick 4g
",2.0,1
"in this game the tracks are cool but the animations aren't good.
",2.0,1
"sensitivity needs improvement
",3.0,1
"also freezes occasionally when i try to exit the game.
",1.0,1
"it stays at imangi studios for about 20+ seconds before getting to the game.
",5.0,1
"so everyone don't waste your time trying to download  this idiotic game, because it won't download.
",1.0,1
"the screen of the game is too big and i can't see where i'm running.
",1.0,1
"love the game but recently it started to freeze and close when you try to use a gem for save me.
",3.0,1
"this is my favourate game on android but it was running smoothly before but after unlocking characters and upgrades it started lagging.
",3.0,1
"good but it should have adjustable sensitivity in the settings.
",4.0,1
"would've given a 5 star if the option to adjust sensitivity and the magnet powerup will not overlap with the magnet pickup.
",4.0,1
"very fun, but every time i use a save me in a mineshaft it crashes and i lose all progress from that run.
",4.0,1
"the game freezes and force closes quite a bit.
",3.0,1
"this is a very addicting game, but there are a few issues concerning powerups and placement.
",4.0,1
"installed but not fit on qvga screen whyy
",1.0,1
"hate that the magnet doesn't multiply coins but its still good.
",5.0,1
"the turning is slow.
",3.0,1
"it takes full second or more to turn.
",3.0,1
"i've also twice experienced a bug with the boost where it flung me off the edge.
",5.0,1
"very fun but its too laggy on my neo v ics
",3.0,1
"it has everything i was so surprised by it this game cant get any better it has tons of things and you just cant stop playing it but when i click on th save me button at the end of each run the game just exsits fix it.
",4.0,1
"am usin galaxy tab but i cant download cos it alwys error
",5.0,1
"the menu layout sucks , the graphics are kinda stale but the game is way better than the first!
",4.0,1
"only criticisn is it lags a few times.
",5.0,1
"new cart level and zip line seem to glitch the boost power up leading to instant death.
",3.0,1
"head start that uses 2500 coins activates automatically.
",3.0,1
"freezing a lot on galaxy s3!
",1.0,1
"this game is fun but idk it wont let me download it mad
",5.0,1
"a fun game but crashes way too much!
",2.0,1
"why cant i get this downloaded, :(
",2.0,1
"i think this is a,really good and well made game, but when ever i used a shield over a river (not the one with the broken bridge) it glitches up :(
",4.0,1
"i've just downloaded this app twice and it doesn't work on my samsung galaxy tab gt p1010.
",1.0,1
"it's a good game, but not as smooth as temple run 1.
",3.0,1
"superb game but need to force close frequently that's why 3star otherwise 5star
",3.0,1
"lags a tiny bit sometimes but i'm sure optimization will fix that.
",4.0,1
"and its a little confusing on what to upgrade and stuff.
",5.0,1
"there was no explanation of how powerups work, why is it that when i spend 20 gems to max out the magnet powerup, after one game goes down by  half?
",1.0,1
"this is game is way addicting and super fun but i hate when i try to use my gems sometimes that it crashes and doesnt save my progress.
",4.0,1
"i was at 10500 when it crashed last no joke.
",4.0,1
"does not fit my screen right at all!
",1.0,1
"i purchased a set of gold and it still hasn't shown up in my game, several days later.
",4.0,1
"great game,  just one thing,  when i just miss falling off of those half paths,  my guy keeps running while on his side,  even jumping while lying down.
",5.0,1
"i am using an htc explorer and also have temple rum 1 but some games like raging thunder and tempal run 2 don't work whenever i turn them on it says program not responding please help even when i download apps from 4shared it says download failed help
",1.0,1
