text,rating
"nice game
",5.0
"good game better then temple run 1 and iam enjoying game
",5.0
"best coll game ever
",5.0
"i love temple run,but this is more challenging than the 1st one and more scoring.plus u can recurr auto if u want.
",5.0
"i think this game is unbelievable how its made ,and its so fun i love it please get it your mind will be amazed.
",5.0
"i'm always playing it in my free time.
",5.0
"absolutely 5 stars.
",5.0
"its even better than the original.
",5.0
"so 5 minutes ago my mom told me about temple run 2  because i am a fan of the first one.this game has amazing graphics and for some reason its much more interesting.
",5.0
"this is my fav game right now
",5.0
"its as good as the last one, so if you liked the first one you'll enjoy this one too.
",5.0
"mast hai.phadu.
",5.0
"i'm really addicted to this game!
",5.0
"i really love this game its better than the first one love that one too though
",5.0
"hate the motions, old game more responsive,
",1.0
"this is better than the 1st but the brave one have that arrow thingy
",5.0
"it still lags on a galaxy s i poor
",1.0
"works great on note 2.
",5.0
"superb game.,. also works nice
",5.0
"i upgrade my boost but there wasn't internet so my coins were deducted but the boost wasn't upgraded.
",3.0
"one more thing was that the character died due to lag when i tilt.
",3.0
"temple couldnt be downloaded due to an error (498)?
",1.0
"galaxy tab .
",1.0
"very nice game, good graphics, new powerups, and it's a freemium.
",5.0
"its the perfect sequel for its predecessor.
",5.0
"new gameplay beautiful graphics, new powerups.
",5.0
"and above all the game performs very nicely in any smartphone that supports it.
",5.0
"woow amazingly fabulous!
",5.0
"i like this game, it's cool.
",5.0
"this game is amazing!
",5.0
"great improvement from the first.
",5.0
"the only problem i have is that it lags a little but then i can't move.
",5.0
"please fix but otherwise great game!
",5.0
"this game is not support in my samsung galaxy chat plz help.
",1.0
"best game everrr!
",5.0
"the graphics are amazing and the game is super fun!
",5.0
"its a cheap copy of pitfall.
",1.0
"barely senses your finger movements.
",1.0
"nice game but the tilt is too slow
",5.0
"very nice game i liked it
",5.0
"game is perfect as a sequel.
",5.0
"the best game on my samsung galaxy tab 10.1
",5.0
"i have a droid razr and sometimes when i try to ""save""
",3.0
"myself it freezes and shut down and when i start it back up i have 1 less gem even thou i didnt get to save myself.
",3.0
"otherwise  amazing game!
",3.0
"graphics are awesome and has real like game.
",5.0
"it's the best game anybody could ever get, in my opinion.
",5.0
"only thing i couldn't stand it when it glitches a little.
",5.0
